Timestamp,Result,Snapshot
2025-07-31 18:26:19,Violation,output/alerts\violation_20250731_182612.jpg
2025-07-31 18:30:22,Violation,output/alerts\violation_20250731_183016.jpg
2025-07-31 18:42:02,Violation,output/alerts\violation_20250731_184158.jpg
2025-07-31 18:43:00,Violation,output/alerts\violation_20250731_184255.jpg
2025-07-31 18:44:54,Violation,output/alerts\violation_20250731_184449.jpg
2025-07-31 18:54:02,Violation,output/alerts\violation_20250731_185357.jpg
2025-07-31 18:54:55,Violation,output/alerts\violation_20250731_185447.jpg
2025-07-31 18:56:03,Violation,output/alerts\violation_20250731_185556.jpg
2025-07-31 18:57:20,Safe,
2025-07-31 19:00:48,Violation,output/alerts\violation_20250731_190037.jpg
2025-07-31 19:01:24,Safe,
2025-08-01 18:48:30,Violation,output/alerts\violation_20250801_184823.jpg
2025-08-01 18:49:59,Violation,output/alerts\violation_20250801_184953.jpg
2025-08-01 18:51:53,Violation,output/alerts\violation_20250801_185148.jpg
2025-08-01 18:55:24,Violation,output/alerts\violation_20250801_185519.jpg
2025-08-01 19:05:10,Violation,output/alerts\violation_20250801_190504.jpg
2025-08-01 19:11:09,Violation,output/alerts\violation_20250801_191103.jpg
2025-08-01 19:12:25,Violation,output/alerts\violation_20250801_191220.jpg
2025-08-01 19:13:48,Violation,output/alerts\violation_20250801_191344.jpg
2025-08-01 19:15:29,Violation,output/alerts\violation_20250801_191523.jpg
2025-08-01 19:17:54,Violation,output/alerts\violation_20250801_191748.jpg
2025-08-01 19:31:11,Violation,output/alerts\violation_20250801_193106.jpg
2025-08-01 19:43:32,Violation,output/alerts\violation_20250801_194327.jpg
2025-08-01 19:45:24,Violation,output/alerts\violation_20250801_194519.jpg
2025-08-01 19:52:17,Violation,output/alerts\violation_20250801_195212.jpg
2025-08-05 20:44:38,Violation,output/alerts\violation_20250805_204433.jpg
2025-08-05 20:49:43,Violation,output/alerts\violation_20250805_204937.jpg
2025-08-05 20:59:26,Violation,output/alerts\violation_20250805_205914.jpg
2025-08-05 21:03:00,Violation,output/alerts\violation_20250805_210254.jpg
2025-08-05 21:37:29,Violation,output/alerts\violation_20250805_213724.jpg
2025-08-05 21:44:11,Violation,output/alerts\violation_20250805_214406.jpg
2025-08-05 21:46:22,Violation,output/alerts\violation_20250805_214617.jpg
2025-08-05 21:47:22,Violation,output/alerts\violation_20250805_214717.jpg
2025-08-06 11:20:52,Violation,output/alerts\violation_20250806_112047.jpg
2025-08-06 11:23:26,Violation,output/alerts\violation_20250806_112320.jpg
2025-08-06 11:24:00,Violation,output/alerts\violation_20250806_112355.jpg
2025-08-06 11:24:31,Violation,output/alerts\violation_20250806_112426.jpg
2025-08-06 11:25:46,Violation,output/alerts\violation_20250806_112532.jpg
2025-08-06 11:26:16,Violation,output/alerts\violation_20250806_112612.jpg
2025-08-06 11:48:21,Violation,output/alerts\violation_20250806_114814.jpg
2025-08-14 11:53:41,Violation,Detection_Module/output/alerts\violation_20250814_115336.jpg
2025-08-14 11:55:34,Violation,Detection_Module/output/alerts\violation_20250814_115529.jpg
